weather_station,for_date,for_hour,rain
wardha/deoli/bhidi,2023-06-19,6,0.0
wardha/deoli/bhidi,2023-06-19,7,0.0
wardha/deoli/bhidi,2023-06-19,8,0.0
wardha/deoli/bhidi,2023-06-19,9,0.0
wardha/deoli/bhidi,2023-06-19,10,0.0
wardha/deoli/bhidi,2023-06-19,11,0.0
wardha/deoli/bhidi,2023-06-19,12,0.0
wardha/deoli/bhidi,2023-06-19,13,0.0
wardha/deoli/bhidi,2023-06-19,14,0.0
wardha/deoli/bhidi,2023-06-19,15,0.0
wardha/deoli/bhidi,2023-06-19,16,0.0
wardha/deoli/bhidi,2023-06-19,17,0.0
wardha/deoli/bhidi,2023-06-19,18,0.0
wardha/deoli/bhidi,2023-06-19,19,0.0
wardha/deoli/bhidi,2023-06-19,20,0.0
wardha/deoli/bhidi,2023-06-19,21,0.0
wardha/deoli/bhidi,2023-06-19,22,0.0
wardha/deoli/bhidi,2023-06-19,23,0.0
wardha/deoli/bhidi,2023-06-20,0,0.0
wardha/deoli/bhidi,2023-06-20,1,0.0
wardha/deoli/bhidi,2023-06-20,2,0.0
wardha/deoli/bhidi,2023-06-20,3,0.0
wardha/deoli/bhidi,2023-06-20,4,0.0
wardha/deoli/bhidi,2023-06-20,5,0.0
wardha/deoli/bhidi,2023-06-20,6,0.0
wardha/deoli/bhidi,2023-06-20,7,0.0
wardha/deoli/bhidi,2023-06-20,8,0.0
wardha/deoli/bhidi,2023-06-20,9,0.0
wardha/deoli/bhidi,2023-06-20,10,0.0
wardha/deoli/bhidi,2023-06-20,11,0.0
wardha/deoli/bhidi,2023-06-20,12,0.0
wardha/deoli/bhidi,2023-06-20,13,0.0
wardha/deoli/bhidi,2023-06-20,14,0.0
wardha/deoli/bhidi,2023-06-20,15,0.0
wardha/deoli/bhidi,2023-06-20,16,0.0
wardha/deoli/bhidi,2023-06-20,17,0.0
wardha/deoli/bhidi,2023-06-20,18,0.0
wardha/deoli/bhidi,2023-06-20,19,0.0
wardha/deoli/bhidi,2023-06-20,20,0.0
wardha/deoli/bhidi,2023-06-20,21,0.0
wardha/deoli/bhidi,2023-06-20,22,0.0
wardha/deoli/bhidi,2023-06-20,23,0.0
wardha/deoli/bhidi,2023-06-21,0,0.0
wardha/deoli/bhidi,2023-06-21,1,0.0
wardha/deoli/bhidi,2023-06-21,2,0.0
wardha/deoli/bhidi,2023-06-21,3,0.0
wardha/deoli/bhidi,2023-06-21,4,0.0
wardha/deoli/bhidi,2023-06-21,5,0.0
wardha/deoli/bhidi,2023-06-21,6,0.0
wardha/deoli/bhidi,2023-06-21,7,0.0
wardha/deoli/bhidi,2023-06-21,8,0.0
wardha/deoli/bhidi,2023-06-21,9,0.0
wardha/deoli/bhidi,2023-06-21,10,0.0
wardha/deoli/bhidi,2023-06-21,11,0.0
wardha/deoli/bhidi,2023-06-21,12,0.0
wardha/deoli/bhidi,2023-06-21,13,0.0
wardha/deoli/bhidi,2023-06-21,14,0.0
wardha/deoli/bhidi,2023-06-21,15,0.0
wardha/deoli/bhidi,2023-06-21,16,0.0
wardha/deoli/bhidi,2023-06-21,17,0.0
wardha/deoli/bhidi,2023-06-21,18,0.0
wardha/deoli/bhidi,2023-06-21,19,0.0
